Comment,Designator,Footprint,LCSC,Quantity
0,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477,1
100k,"R15,R20",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25611,2
100n,"C11,C12,C15,C21,C22,C23,C24,C27,C29,C31,C5,C53,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,15
100uF,"C2,C3",CP_EIA-7343-31_Kemet-D_HandSolder,C2749,2
100uF,C10,CP_EIA-6032-28_Kemet-C_HandSolder,C8649,1
10k,"R16,R17,R18,R19",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
10n,"C50,C51",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710,2
10u,"C1,C14,C17,C18,C20,C34,C36,C4,C6",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,9
10u,C37,C_0805_2012Metric,C1713,1
12p,"C25,C26",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C152848,2
1k,"R13,R7,R8,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,4
20p,"C28,C30",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1727,2
220,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17557,1
220n,"C32,C38,C39,C43,C45,C46,C47,C48,C49,C52",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C5378,10
24MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C15643,1
2A,"F1,F2",Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,C20812,2
2M2,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26113,1
2n2,"C16,C19",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1728,2
2u2,"C13,C35",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C19110,2
32768,Y2,Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal_1EP_style2,C2236,1
47,"R3,R5",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25315,2
470,"R11,R12,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710,3
4u7,"C33,C40,C41,C42,C44",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779,5
4u7,L3,L_0805_2012Metric_Pad1.15x1.40mm,C63166,1
5k1,"R1,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26023,2
74LVC2G06,U11,SOT-23-6_Handsoldering,C402162,1
AMS1117-3.3,U2,TO-252-2,C41414107,1
APS6404L-3SQR,"U5,U6",SOIC-8_3.9x4.9mm_P1.27mm,C5333729,2
BAT54C,D6,SOT-23_Handsoldering,C37704,1
BAT54S,"D1,D7",SOT-23_Handsoldering,C7420333,2
BI,"J1,J2",PinHeader_1x05_P2.54mm_Vertical,C5156614,2
DMG2305UX,Q1,SOT-23_Handsoldering,C144153,1
Ferrite 120,"L1,L2",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C5671,2
GD25Q64ESIGR,U8,SOIC-8_5.3x5.3mm_P1.27mm,C2831359,1
"ILI9341 3.2"" capacitive touch",U3,PinSocket_1x14_P2.54mm_Vertical,C124407,1
LED1,D3,LED_Indicator_D3.0mm_W4.6mm_L6.5mm,C17683617,1
LED2,D4,LED_Indicator_D3.0mm_W4.6mm_L6.5mm,C473837,1
LINE OUT,TRS1,AUDIO_JACK_3.5MM_SMD_TRRS_rounded_mixed,C53447038,1
MCU LED,D5,LED_Indicator_D3.0mm_W4.6mm_L6.5mm,C19188468,1
MIDI IN,TRS3,AUDIO_JACK_3.5MM_SMD_TRRS_rounded_mixed,C53447038,1
MIDI OUT,TRS2,AUDIO_JACK_3.5MM_SMD_TRRS_rounded_mixed,C53447038,1
MIMXRT1062DVJ6B,U9,BGA196C80P14X14_1200X1200X152,C3216699,1
MKL02Z32VFG4,U7,QFN-16-1EP_3x3mm_P0.5mm_EP1.9x1.9mm,C2056583,1
Micro_SD_Card,"J4,J5",GCT-MEM2055-00-190-01-A,C91145,2
ON_OFF,SW1,Push_PTH_RA_8-020_h7.5mm,C125050,1
PCM5102A,U4,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,1
PROGRAM,SW2,Push_PTH_RA_8-020_h7.5mm,C125050,1
Rotary_Encoder_L,ENC1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,C7435302,1
Rotary_Encoder_R,ENC2,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,C7435302,1
SM6T6V8A,D2,D_SMB_Handsoldering,C511038,1
SPDIF OUT,J3,Pin_Header_Straight_1x02,C5360898,1
TLP2362,OC1,SO-5-6_4.55x3.7mm_P1.27mm,C37658,1
TLV75733PDBV,U10,SOT-23-5_HandSoldering,C485517,1
TPD3S014,U1,SOT-23-6_Handsoldering,C87384,1
USB,USB2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C165948,1
USB_HOST,USB1,USB_A_Molex_67643_Horizontal,C2346,1
~,H8,MountingHole_M3,,1
~,H6,MountingHole_M3,,1
~,H4,MountingHole_M3,,1
~,H2,MountingHole_M3,,1
