Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.4572,-56.134,-90.0,top
C10,100uF,CP_EIA-6032-28_Kemet-C_HandSolder,55.7784,-51.9938,270.0,top
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,69.088,-59.4868,-90.0,top
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,58.9788,-59.5376,-90.0,top
C13,2u2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,69.088,-54.356,-90.0,top
C14,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.008,-54.3775,-90.0,top
C15,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.548,-54.3775,-90.0,top
C16,2n2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.5265,-49.784,-90.0,top
C17,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,68.072,-69.5745,90.0,top
C18,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.008,-49.8055,-90.0,top
C19,2n2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,58.928,-49.784,-90.0,top
C2,100uF,CP_EIA-7343-31_Kemet-D_HandSolder,131.318,-58.9788,90.0,top
C20,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.4465,-49.8055,-90.0,top
C21,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,65.532,-69.596,90.0,top
C22,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.5642,-70.2056,0.0,top
C23,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,94.5642,-77.6478,0.0,top
C24,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.1486,-66.929,90.0,top
C25,12p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.4712,-86.3854,-90.0,top
C26,12p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.6556,-86.3854,-90.0,top
C27,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98.3742,-86.1822,0.0,top
C28,20p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.1372,-86.0044,270.0,bottom
C29,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.0986,-97.9678,270.0,bottom
C3,100uF,CP_EIA-7343-31_Kemet-D_HandSolder,94.9452,-53.975,90.0,top
C30,20p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.2708,-86.0044,270.0,bottom
C31,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.836,-97.9678,270.0,bottom
C32,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.8306,-74.6506,180.0,bottom
C33,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,109.9566,-80.0354,270.0,bottom
C34,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.8814,-70.2818,180.0,bottom
C35,2u2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.744,-60.4989,90.0,bottom
C36,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.6762,-71.2216,0.0,bottom
C37,10u,C_0805_2012Metric,107.9246,-69.5452,90.0,bottom
C38,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.8738,-80.0354,270.0,bottom
C39,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.8306,-72.4916,180.0,bottom
C4,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.724,-72.644,180.0,top
C40,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.6866,-60.4989,90.0,bottom
C41,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.6762,-73.2028,0.0,bottom
C42,4u7,C_0805_2012Metric,109.8804,-69.4182,90.0,bottom
C43,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,102.5144,-54.8132,0.0,top
C44,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,112.0394,-80.0354,270.0,bottom
C45,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.6038,-60.4989,90.0,bottom
C46,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.6762,-75.2856,0.0,bottom
C47,220n,C_0805_2012Metric,110.5408,-72.4154,0.0,bottom
C48,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.791,-80.0354,90.0,bottom
C49,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.1222,-80.0354,270.0,bottom
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.724,-70.104,180.0,top
